Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:00:04.462,114244.9,0.61,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.602,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.001,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.004,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.237,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.065,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.323,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.125,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.299,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.001,BTCUSDT
2025-09-30 00:00:04.462,114244.9,1.097,BTCUSDT
2025-09-30 00:00:04.462,114244.9,1.923,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.008,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.001,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.375,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.27,BTCUSDT
2025-09-30 00:00:04.462,114244.9,1.6,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.16,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.652,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.179,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.5,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.272,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.001,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.495,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.006,BTCUSDT
2025-09-30 00:00:04.462,114244.9,0.004,BTCUSDT
2025-09-30 00:00:04.499,114245.0,0.001,BTCUSDT
2025-09-30 00:00:04.559,114245.0,0.004,BTCUSDT
2025-09-30 00:00:04.573,114244.9,0.003,BTCUSDT
2025-09-30 00:00:04.573,114244.9,0.024,BTCUSDT
2025-09-30 00:00:04.785,114245.0,0.01,BTCUSDT
2025-09-30 00:00:04.787,114245.0,0.006,BTCUSDT
2025-09-30 00:00:04.960,114245.0,0.006,BTCUSDT
2025-09-30 00:00:04.975,114245.0,0.089,BTCUSDT
2025-09-30 00:00:05.023,114245.0,0.006,BTCUSDT
2025-09-30 00:00:05.103,114245.0,0.053,BTCUSDT
2025-09-30 00:00:05.117,114245.0,0.003,BTCUSDT
2025-09-30 00:00:05.131,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.150,114245.0,0.011,BTCUSDT
2025-09-30 00:00:05.180,114245.0,0.006,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.138,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.003,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.043,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.003,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.005,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.047,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.065,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.013,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.009,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.208,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.009,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.0,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.001,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.5,0.002,BTCUSDT
2025-09-30 00:00:05.209,114245.6,0.001,BTCUSDT
2025-09-30 00:00:05.209,114246.0,0.009,BTCUSDT
2025-09-30 00:00:05.209,114246.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114246.1,0.155,BTCUSDT
2025-09-30 00:00:05.209,114246.2,0.002,BTCUSDT
2025-09-30 00:00:05.209,114246.2,0.002,BTCUSDT
2025-09-30 00:00:05.209,114246.2,0.002,BTCUSDT
2025-09-30 00:00:05.209,114246.2,0.027,BTCUSDT
2025-09-30 00:00:05.209,114246.5,0.002,BTCUSDT
2025-09-30 00:00:05.209,114246.7,0.002,BTCUSDT
2025-09-30 00:00:05.209,114247.3,0.002,BTCUSDT
2025-09-30 00:00:05.209,114247.4,0.002,BTCUSDT
2025-09-30 00:00:05.209,114247.4,0.002,BTCUSDT
2025-09-30 00:00:05.209,114247.6,0.001,BTCUSDT
2025-09-30 00:00:05.209,114247.8,0.001,BTCUSDT
2025-09-30 00:00:05.209,114247.9,0.003,BTCUSDT
2025-09-30 00:00:05.209,114248.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114248.1,0.002,BTCUSDT
2025-09-30 00:00:05.209,114248.3,0.002,BTCUSDT
2025-09-30 00:00:05.209,114248.5,0.002,BTCUSDT
2025-09-30 00:00:05.209,114248.5,0.002,BTCUSDT
2025-09-30 00:00:05.209,114248.6,0.001,BTCUSDT
2025-09-30 00:00:05.209,114248.6,0.001,BTCUSDT
2025-09-30 00:00:05.307,114248.6,0.088,BTCUSDT
2025-09-30 00:00:05.588,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.588,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.588,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.588,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.588,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.592,114248.7,0.002,BTCUSDT
2025-09-30 00:00:05.592,114248.7,0.008,BTCUSDT
2025-09-30 00:00:05.609,114248.7,0.117,BTCUSDT
2025-09-30 00:00:05.625,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.695,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.717,114248.7,0.125,BTCUSDT
2025-09-30 00:00:05.767,114248.7,0.005,BTCUSDT
2025-09-30 00:00:05.811,114248.6,0.114,BTCUSDT
2025-09-30 00:00:05.889,114248.7,0.002,BTCUSDT
2025-09-30 00:00:05.900,114248.6,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.238,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.156,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.005,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.043,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.009,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.219,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.105,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.008,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.009,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.7,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.8,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.8,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.8,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.9,0.002,BTCUSDT
2025-09-30 00:00:05.939,114248.9,0.001,BTCUSDT
2025-09-30 00:00:05.939,114248.9,0.001,BTCUSDT
2025-09-30 00:00:05.939,114249.0,0.523,BTCUSDT
2025-09-30 00:00:05.939,114249.1,0.002,BTCUSDT
2025-09-30 00:00:05.939,114249.9,0.002,BTCUSDT
2025-09-30 00:00:05.939,114250.0,0.001,BTCUSDT
2025-09-30 00:00:05.939,114250.6,0.002,BTCUSDT
2025-09-30 00:00:05.939,114250.7,0.018,BTCUSDT
2025-09-30 00:00:05.939,114251.1,0.002,BTCUSDT
2025-09-30 00:00:05.939,114251.2,0.001,BTCUSDT
